Article (Author et al YYYY),Sample Name,Sample Type,38.86531,-108.39814,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
DoD et al 2022,Buckley Space Force Base,Sediment or Soil,38.70306647,-104.7424449,2018,07/20/2018,,,,,ug/kg,8500,7200,,0,0,0,,,,0,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Ft. Carson,Sediment or Soil,39.645118,-106.914057,2020,11/05/2020,,,,,ug/kg,280,4.4,,0,0,0,,,,0,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Gypsum HAATS,Sediment or Soil,39.704577,-104.764325,2022,06/28/2022,,,,,ug/kg,60,0.42,,0.74,0.23,2.6,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Buckley HAATS,Sediment or Soil,39.00461768,-104.8376278,2022,07/14/2022,,,,,ug/kg,1.94,0.26,,0.456,0.382,0.249,,,,0,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,U.S. Air Force Academy,Surface Water,38.82600538,-104.6995704,2019,10/12/2019,,,,,ng/L,23,20,,0,0,0,,,,0,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Peterson Space Force Base,Surface Water,38.80921562,-104.5244837,2016,11/12/2016,,,,,ng/L,730,100,,0,0,0,,,,0,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Schreiver Space Force Base,Surface Water,38.74370173,-104.8823555,2018,09/07/2018,,,,,ng/L,760000,110000,,0,0,0,,,,0,,,,,,,,,,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Cheyenne Mountain Air Force base,Surface Water,,,2018,11/08/2018,,,,,ng/L,3.8,2.3,,0,0,0,,,,0,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,El Paso Parks A1 WELL,Ground Water,,,2016,03/02/2016,,,,,ng/L,31,18,,,0,38,,5.3,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,El Paso Parks Fountain Creek Nature Ctr,Ground Water,,,2016,03/02/2016,,,,,ng/L,0,0,,,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,El Paso Parks Mckinnon Well,Ground Water,,,2016,03/02/2016,,,,,ng/L,20,15,,,0,35,,6.1,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Fountain Well No 2 South Park Well,Ground Water,,,,,,,,,ng/L,49,32,,,0,54,,10,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Fountain Well No 3 Shop Well,Ground Water,,,,,,,,,ng/L,50,27,,,0,50,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Fountain Well No 4 Dale St,Ground Water,,,,,,,,,ng/L,46,33,,,0,59,,10,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,FV Shopping Center No 1 Well,Ground Water,,,2016,05/17/2016,,,,,ng/L,140,73,,,5.6,510,,42,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Garden Valley 5356,Ground Water,,,2016,05/17/2016,,,,,ng/L,37,13,,,5.5,19,,5.7,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Garden Valley 5359,Ground Water,,,2016,05/17/2016,,,,,ng/L,36,20,,,6.6,20,,8,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Garden Valley 5360,Ground Water,,,2016,05/17/2016,,,,,ng/L,37,11,,,6.4,19,,4.9,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Garden Valley 5908,Ground Water,,,2016,05/17/2016,,,,,ng/L,34,13,,,5.4,20,,5.5,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Garden Valley No 8 Well,Ground Water,,,2016,02/23/2016,,,,,ng/L,0,0,,,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well COS Pond-MWE,Ground Water,,,2016,05/04/2016,,,,,ng/L,1600,200,,,25,970,,200,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well HMW-63 Schlage,Ground Water,,,2016,05/04/2016,,,,,ng/L,0,0,,,0,6.9,,0,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well MW-1 Kingz,Ground Water,,,2016,05/04/2016,,,,,ng/L,41,13,,,0,93,,12,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well nonpotable well GWMW,Ground Water,,,2016,04/06/2016,,,,,ng/L,290,38,,,0,410,,22,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well Rocky Mountain Materials,Ground Water,,,2016,03/08/2016,,,,,ng/L,9,8,,,0,13,,4,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,First United Pentacostal Church,Ground Water,,,2016,05/17/2016,,,,,ng/L,130,30,,,3.9,210,,20,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Venetucci Farm - ranch house,Ground Water,,,2016,04/04/2016,,,,,ng/L,130,86,,,0,560,,44,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Venetucci Farm - main house,Ground Water,,,2016,04/04/2016,,,,,ng/L,70,91,,,0,380,,44,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security CS Well 13,Ground Water,,,2016,04/06/2016,,,,,ng/L,170,94,,,0,440,,38,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security FV4 Well,Ground Water,,,2016,04/11/2016,,,,,ng/L,65,56,,,0,260,,27,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security MHP Big,Ground Water,,,2016,05/17/2016,,,,,ng/L,130,62,,,5.3,560,,42,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security MHP Little,Ground Water,,,2016,05/17/2016,,,,,ng/L,170,71,,,5.4,670,,50,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security MHP NO 2 WELL,Ground Water,,,2016,02/19/2016,,,,,ng/L,70,33,,,0,380,,17,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security R1 Well Ream No 1,Ground Water,,,2016,04/06/2016,,,,,ng/L,72,45,,,0,420,,23,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security R2 Well Ream No 2,Ground Water,,,2016,04/06/2016,,,,,ng/L,73,52,,,0,370,,24,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S10 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,120,29,,,0,140,,18,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S11 Well,Ground Water,,,2016,04/11/2016,,,,,ng/L,130,35,,,0,130,,20,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S12 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,110,32,,,0,160,,17,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S13 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,160,96,,,0,410,,36,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S14 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,520,63,,,0,600,,37,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S15 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,50,86,,,0,320,,32,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S16 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,77,85,,,0,480,,36,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S17 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,83,52,,,0,370,,23,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S2 Well,Ground Water,,,2016,04/21/2016,,,,,ng/L,61,87,,,0,380,,35,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S4 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,86,31,,,0,150,,18,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S7 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,88,32,,,0,160,,18,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S8 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,46,57,,,0,200,,22,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security S9 Well,Ground Water,,,2016,04/21/2016,,,,,ng/L,74,47,,,0,200,,21,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security V4 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,99,76,,,0,360,,27,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security V5 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,54,79,,,0,280,,27,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security V7 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,98,87,,,0,430,,36,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security V8 Well,Ground Water,,,2016,04/06/2016,,,,,ng/L,72,81,,,0,320,,28,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security W12 Well,Ground Water,,,2016,02/17/2016,,,,,ng/L,400,40,,,0,220,,40,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security W8 Well,Ground Water,,,2016,02/17/2016,,,,,ng/L,560,60,,,0,280,,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Security W9 Well,Ground Water,,,2016,02/17/2016,,,,,ng/L,560,70,,,0,340,,60,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Stramoor Hills Well 4,Ground Water,,,2016,11/16/2016,,,,,ng/L,54,26,,,0,43,,11,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,U Pull and Pay Well,Ground Water,,,2016,05/17/2016,,,,,ng/L,32,14,,,4,37,,8.5,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield High School irrigation well,Ground Water,,,2016,05/17/2016,,,,,ng/L,320,41,,,6.2,200,,39,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield W1 Well,Ground Water,,,2016,02/10/2016,,,,,ng/L,72,26,,,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield W3 Well,Ground Water,,,2016,05/02/2016,,,,,ng/L,90,48,,,0,320,,23,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield W7 Well,Ground Water,,,2016,08/12/2016,,,,,ng/L,260,35,,,0,150,,27,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield Well C1,Ground Water,,,2016,05/03/2016,,,,,ng/L,93,20,,,0,80,,13,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield Well C3,Ground Water,,,2016,05/03/2016,,,,,ng/L,75,42,,,0,260,,22,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield Well C36,Ground Water,,,2016,08/12/2016,,,,,ng/L,71,39,,,0,350,,21,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield Well E2,Ground Water,,,2016,11/08/2016,,,,,ng/L,260,33,,,3.8,140,,22,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield Well W-2,Ground Water,,,2016,05/03/2016,,,,,ng/L,78,20,,,0,65,,12,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Fountain Faith Fellowship,Ground Water,,,2016,06/27/2016,,,,,ng/L,0,9.1,,,0,10,,3.8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,CO. Centre Metro district,Ground Water,,,2016,06/27/2016,,,,,ng/L,0,0,,,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Fountain Valley School,Ground Water,,,2016,05/26/2016,,,,,ng/L,64,33,,,4.5,34,,12,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield Jhw5R Well,Ground Water,,,2014,05/19/2014,,,,,ng/L,0,0,,,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Norad MHP 5775 Southmoor,Ground Water,,,2016,03/31/2016,,,,,ng/L,140,63,,,0,740,,44,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield W4 Well,Ground Water,,,2014,05/19/2014,,,,,ng/L,51,45,,,0,330,,24,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Fountain Well No 1 North Park Well,Ground Water,,,2013,07/17/2013,,,,,ng/L,0,40,,,0,50,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Venetucci Farm - farm house,Ground Water,,,2016,06/28/2016,,,,,ng/L,49,66,,,0,290,,32,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Stramoor Hills Well 10,Ground Water,,,2016,11/16/2016,,,,,ng/L,13,4.8,,,0,11,,2.7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Stramoor Hills Well 5,Ground Water,,,2017,02/22/2017,,,,,ng/L,42,11,,,0,22,,4.8,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well Airplane Crash #1,Ground Water,,,2017,02/16/2017,,,,,ng/L,36,30,,,0,49,,6,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well Mars Gas #2,Ground Water,,,2017,02/15/2017,,,,,ng/L,28,4,,,0,15,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well Recycle Center #3,Ground Water,,,2017,02/15/2017,,,,,ng/L,26,9,,,0,15,,4,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,monitoring well TH22 #4,Ground Water,,,2017,02/15/2017,,,,,ng/L,18,4,,,0,10,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Widefield Well JHW2,Ground Water,,,2016,06/15/2016,,,,,ng/L,2.9,4.7,,,0,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso PWS et al 2016,Wigwam Well CR #1,Ground Water,38.47526994,-107.2911664,2008,05/27/2008,,,,,ng/L,18,25,,,0,50,,7.5,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Blue Mesa Reservoir above Soap Creek near Sapinero, CO",Surface Water,38.47526994,-107.2911664,2017,08/31/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Blue Mesa Reservoir above Soap Creek near Sapinero, CO",Surface Water,38.48221371,-107.0839377,2017,05/25/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Blue Mesa Reservoir below Highway 149 near Gunnison, CO",Surface Water,38.51749077,-106.9956012,2017,05/25/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Gunnison River at County Road 32 below Gunnison, CO",Surface Water,38.51749077,-106.9956012,2017,08/31/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Gunnison River at County Road 32 below Gunnison, CO",Surface Water,37.2525562,-108.3573505,2017,05/25/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Mancos River at Anitas Flat Below Mancos, CO",Surface Water,37.2525562,-108.3573505,2017,11/05/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Mancos River at Anitas Flat Below Mancos, CO",Surface Water,37.2525562,-108.3573505,2017,09/20/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Mancos River at Anitas Flat Below Mancos, CO",Surface Water,37.2525562,-108.3573505,2017,05/26/2017,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Mancos River at Anitas Flat Below Mancos, CO",Surface Water,37.2525562,-108.3573505,2018,05/22/2018,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Mancos River at Anitas Flat Below Mancos, CO",Surface Water,37.2525562,-108.3573505,2018,08/07/2018,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Mancos River at Anitas Flat Below Mancos, CO",Surface Water,37.2525562,-108.3573505,2019,08/14/2019,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,"Mancos River at Anitas Flat Below Mancos, CO",Surface Water,37.18450598,-108.4882954,2019,09/25/2019,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,Mesa Verde Site No. CPT05,Surface Water,37.18450598,-108.4882954,2019,07/24/2019,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,Mesa Verde Site No. FEW11,Surface Water,37.18450598,-108.4882954,2019,07/29/2019,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,Mesa Verde Site No. SCT1003,Surface Water,37.18450598,-108.4882954,2019,07/29/2019,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Parks Service et al 2017,Mesa Verde Site No. STH01,Surface Water,38.797259,-104.785961,2019,07/29/2019,,,,,ng/L,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Water Data et al 2024,Sema Construction Circle Drive Bridge Replacement,Ground Water,39.74087,-105.1,,,,,,,ng/L,15,7.5,,,0,0,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Prestige Automotive,Ground Water,39.65316,-104.822,2023,01/06/2023,,,,,ng/L,22,7.3,,,3.1,3.5,,,,,,,0,,,,,,,,49,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Griswold WPF,Ground Water,39.56998,-104.937,2023,02/20/2023,,,,,ng/L,2.3,1.1,,,0,0,,,,,,,0,,,,,,,,1.9,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Big Dry Creek at SSPRD Golf Course,Ground Water,39.859031,-104.689888,2023,02/07/2023,,,,,ng/L,9.2,8.2,,,0,3.7,,,,,,,0,,,,,,,,6.8,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,B-10 DEN West Gate,Ground Water,39.859031,-104.689888,2022,01/31/2022,,,,,ng/L,0,0,,,0,0,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,B-11 DEN West Gate,Ground Water,39.859031,-104.689888,2022,01/31/2022,,,,,ng/L,1.2,0,,,0,0,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,B-12 DEN West Gate,Ground Water,39.859031,-104.689888,2022,01/31/2022,,,,,ng/L,0,0,,,0,0,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,B-13 DEN West Gate,Ground Water,39.859031,-104.689888,2022,01/31/2022,,,,,ng/L,0,0,,,0,0,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,B-15 DEN West Gate,Ground Water,39.859031,-104.689888,2022,01/31/2022,,,,,ng/L,0,0,,,0,0.91,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,B-24 DEN West Gate,Ground Water,39.859031,-104.689888,2022,01/31/2022,,,,,ng/L,0,0,,,0,0,,,,,,,0,,,,,,,,284,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,B-9 DEN West Gate,Ground Water,39.6868,-105.027213,2022,01/31/2022,,,,,ng/L,0,0,,,0,0,,,,,,,0,,,,,,,,15.8,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Iowa and Hazel Drain Improvements,Ground Water,39.721354,-104.755372,2021,06/04/2021,,,,,ng/L,20.4,11.4,,,1.5,14.4,,,,,,,0,,,,,,,,15.4,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Coyote Substation,Ground Water,39.926058,-104.972742,2024,04/05/2024,,,,,ng/L,0,1.4,,,0,2.6,,,,,,,0,,,,,,,,16.5,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Opus Design Build LLC,Ground Water,39.63811,-104.67145,,,,,,,ng/L,1.2,2.9,,,0,0.86,,,,,,,0,,,,,,,,3.9,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Aurora Water Sena Creek Interceptor,Ground Water,39.758408,-105.050192,,,,,,,ng/L,7.74,44,,,0,15.9,,,,,,,0,,,,,,,,14.2,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,29X Lando LLC,Ground Water,39.854167,-104.666667,,,,,,,ng/L,4.7,8.1,,,0,2.1,,,,,,,0,,,,,,,,2.6,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,DEN Consourse A East Ground Load,Ground Water,39.772678,-104.993976,,,,,,,ng/L,2.7,129,,,4.5,4.6,,,,,,,0,,,,,,,,2.4,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
Source Water Data et al 2024,Iota Apartments Owner LLC,Ground Water,39.721169,-104.959128,,,,,,,ng/L,8.6,16.7,,,0.93,14.2,,,,,,,0,,,,,,,,12.8,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,
