Sample_ID,Florida_County_Name,Latitude,Longitude,
BRO_0923_023,Broward_County,26.06530556,-80.11330556,
BRO_0924_024,Broward_County,26.05969444,-80.15288889,
BRO_0925_025,Broward_County,26.06761111,-80.18219444,
BRO_0926_026,Broward_County,26.04980556,-80.15488889,
BRO_0927_027,Broward_County,26.01280556,-80.11819444,
BRO_0928_028,Broward_County,26.00880556,-80.23319444,
BRO_1064_029,Broward_County,26.040956,-80.351184,
BRO_1065_030,Broward_County,26.044912,-80.345378,
BRO_1066_031,Broward_County,26.059882,-80.166774,
BRO_1067_032,Broward_County,26.098889,-80.444644,
BRO_1068_033,Broward_County,26.061179,-80.444644,
BRO_1069_034,Broward_County,26.043969,-80.316184,
BRO_1070_035,Broward_County,25.998431,-80.330448,
BRO_1179_036,Broward_County,26.053087,-80.247601,
BRO_1180_037,Broward_County,26.104503,-80.395331,
BRO_1181_038,Broward_County,26.039331,-80.200731,
BRO_1182_039,Broward_County,26.129752,-80.358025,
BRO_1183_040,Broward_County,26.051986,-80.215893,
BRO_1540_041,Broward_County,26.32211667,-80.09659722,
BRO_1636_042,Broward_County,26.025467,-80.412833,
BRO_1936_043,Broward_County,26.178,-80.44694444,
BRO_1938_044,Broward_County,26.33305556,-80.77591667,
BRO_1939_045,Broward_County,26.33147222,-80.88019444,
BRO_1940_046,Broward_County,26.14747222,-80.63091667,
BRO_1942_047,Broward_County,26.14855556,-80.71727778,
BRO_2249_053,Broward_County,26.30124,-80.26268,
BRO_2250_054,Broward_County,26.11925,-80.10801,
BRO_2251_055,Broward_County,26.16134,-80.09906,
BRO_2252_056,Broward_County,26.22987,-80.29744,
BRO_2253_057,Broward_County,26.16343,-80.1356,
BRO_2254_058,Broward_County,26.15384,-80.12872,
BRO_2255_059,Broward_County,26.117141,-80.149924,
BRO_2310_060,Broward_County,26.22972,-80.25416,
BRO_2311_061,Broward_County,26.19027,-80.175,
BRO_2312_062,Broward_County,26.16944,-80.17138,
BRO_2313_063,Broward_County,26.16583,-80.25111,
BRO_2314_064,Broward_County,26.29166,-80.18194,
BRO_2315_065,Broward_County,26.09305,-80.17916,
BRO_2316_066,Broward_County,26.21172,-80.09885,
BRO_2357_067,Broward_County,26.12657,-80.17304,
BRO_2358_068,Broward_County,26.12031,-80.13185,
BRO_2359_069,Broward_County,26.11082,-80.1309,
CAH_1608_001,Calhoun_County,30.519674,-84.994235,
CAH_2317_002,Calhoun_County,30.2865,-85.14474,
CAH_2381_003,Calhoun_County,30.423889,-85.032778,
CAH_2382_004,Calhoun_County,30.506111,-85.157222,
CAH_2383_005,Calhoun_County,30.43172,-85.17182,
CAH_2384_006,Calhoun_County,30.582222,-84.951389,
CHA_0001_001,Charlotte_County,26.90361111,-82.04361111,
CHA_0002_002,Charlotte_County,26.94083333,-82.05111111,
CHA_0003_003,Charlotte_County,26.96916667,-82.09666667,
CHA_0004_004,Charlotte_County,26.97138889,-82.03027778,
CHA_0008_008,Charlotte_County,27.00222222,-81.97888889,
CHA_0010_009,Charlotte_County,26.92583333,-82.00138889,
CHA_0011_010,Charlotte_County,26.9925,-82.11666667,
CHA_0012_011,Charlotte_County,26.97361111,-82.12055556,
CHA_0013_012,Charlotte_County,26.95388889,-82.15611111,
CHA_0014_013,Charlotte_County,27.00833333,-82.24388889,
CHA_0018_014,Charlotte_County,26.875,-82.31166667,
CHA_0019_015,Charlotte_County,26.85694444,-82.28416667,
CHA_0020_016,Charlotte_County,26.83277778,-82.26944444,
CHA_0022_017,Charlotte_County,26.89222222,-82.24833333,
CHA_0024_019,Charlotte_County,26.93833333,-82.21416667,
CHA_0025_020,Charlotte_County,26.9625,-82.20861111,
CHA_0027_021,Charlotte_County,26.79472222,-81.98,
CHA_0028_022,Charlotte_County,26.85805556,-81.96388889,
CHA_0029_023,Charlotte_County,26.8975,-81.98694444,
CHA_0031_025,Charlotte_County,26.81694444,-82.02888889,
CHA_0038_026,Charlotte_County,26.77,-81.82611111,
CHA_0054_027,Charlotte_County,26.95031667,-82.04691667,
CHA_0056_028,Charlotte_County,26.9025,-82.11526667,
CHA_0057_029,Charlotte_County,26.83986667,-82.12195,
CHA_0061_030,Charlotte_County,26.9586,-82.11386667,
CHA_0062_031,Charlotte_County,26.9377,-82.0699,
CHA_0063_032,Charlotte_County,26.95071667,-82.04646667,
CHA_0064_033,Charlotte_County,26.9316,-82.10401667,
CHA_0065_034,Charlotte_County,26.84221667,-82.12366667,
CHA_0779_035,Charlotte_County,26.93461111,-82.35241667,
CHA_0780_036,Charlotte_County,26.86341667,-82.30902778,
CHA_0781_037,Charlotte_County,26.84741667,-82.29708333,
CHA_0782_038,Charlotte_County,26.84602778,-82.3035,
CHA_0783_039,Charlotte_County,26.85063889,-82.3025,
CHA_1714_040,Charlotte_County,26.804675,-82.04959722,
CHA_1715_041,Charlotte_County,26.93895278,-82.05178889,
CHA_1949_042,Charlotte_County,26.82708333,-82.26716667,
CHA_1951_043,Charlotte_County,26.97961111,-82.00319444,
CHA_1956_044,Charlotte_County,26.99444444,-82.20072222,
CHA_1958_045,Charlotte_County,26.88813889,-82.05327778,
CHA_1960_046,Charlotte_County,26.83375,-82.26408333,
CHA_1962_047,Charlotte_County,26.90925,-82.09494444,
CHA_1987_048,Charlotte_County,26.9414,-82.19767778,
CHA_1988_049,Charlotte_County,26.95096944,-82.06111667,
CHA_1989_050,Charlotte_County,26.989125,-81.99418333,
CHA_1993_051,Charlotte_County,26.97419722,-81.88934722,
CHA_1994_052,Charlotte_County,26.97408333,-81.96558056,
CHA_1999_053,Charlotte_County,26.98610833,-82.14993333,
CHA_2004_054,Charlotte_County,26.93833333,-82.21416667,
CIT_0243_001,Citrus_county,28.894725,-82.593342,
CIT_0265_003,Citrus_county,28.88417,-82.592934,
CIT_0266_004,Citrus_county,28.876391,-82.595536,
CIT_0267_005,Citrus_county,28.88161,-82.633772,
CIT_0268_006,Citrus_county,28.8849,-82.604396,
CIT_0269_007,Citrus_county,28.89268,-82.610832,
CIT_0270_008,Citrus_county,28.895287,-82.635012,
CIT_0271_009,Citrus_county,28.904465,-82.640715,
CIT_0272_010,Citrus_county,28.911144,-82.692461,
CIT_0277_011,Citrus_county,28.991216,-82.353393,
CIT_0278_012,Citrus_county,29.008522,-82.388392,
CIT_0280_013,Citrus_county,29.040998,-82.502233,
CIT_0281_014,Citrus_county,28.898646,-82.620508,
CIT_0282_015,Citrus_county,28.890665,-82.595654,
CIT_0283_016,Citrus_county,28.894745,-82.59182,
CIT_0284_017,Citrus_county,28.915935,-82.627816,
CIT_0285_018,Citrus_county,28.907221,-82.627331,
CIT_0286_019,Citrus_county,28.90911,-82.638142,
CIT_0287_020,Citrus_county,29.007811,-82.616325,
CIT_0288_021,Citrus_county,29.013073,-82.662107,
CIT_0355_022,Citrus_county,28.83583333,-82.3275,
CIT_0356_023,Citrus_county,28.98861111,-82.34972222,
CIT_0357_024,Citrus_county,28.83722222,-82.64805556,
CIT_0358_025,Citrus_county,28.80138889,-82.60305556,
CIT_0359_026,Citrus_county,28.78416667,-82.62,
CIT_0360_027,Citrus_county,28.71527778,-82.57694444,
CIT_0960_028,Citrus_county,28.94111111,-82.37722222,
CIT_0961_029,Citrus_county,28.90166667,-82.37333333,
CIT_0962_030,Citrus_county,28.84472222,-82.32222222,
CIT_0963_031,Citrus_county,28.83888889,-82.32638889,
CIT_1167_033,Citrus_county,28.88361111,-82.30305556,
CIT_1168_034,Citrus_county,28.84027778,-82.32888889,
CIT_1169_035,Citrus_county,28.83305556,-82.31694444,
CIT_1170_036,Citrus_county,28.80722222,-82.30416667,
CIT_1171_037,Citrus_county,28.78638889,-82.26194444,
CLA_0552_001,Clay_County,30.033305,-81.723599,
CLA_0554_002,Clay_County,29.978317,-81.629388,
CLA_1126_003,Clay_County,29.9804,-81.635,
CLA_1127_004,Clay_County,30.0072,-81.6914,
CLA_1128_005,Clay_County,30.0395,-81.7078,
CLA_1129_006,Clay_County,30.0806,-81.8054,
CLA_1130_007,Clay_County,30.0732,-81.8522,
CLA_1133_008,Clay_County,30.1597,-81.7065,
CLA_1134_009,Clay_County,30.1453,-81.7015,
CLA_1135_010,Clay_County,30.1346,-81.7183,
CLA_1136_011,Clay_County,30.1009,-81.746,
CLA_1137_012,Clay_County,30.1333,-81.756,
CLA_1138_013,Clay_County,30.1705,-81.6959,
CLA_1184_014,Clay_County,30.13885,-81.727909,
CLA_1185_015,Clay_County,30.050184,-81.719827,
CLA_1623_016,Clay_County,29.95622222,-81.98772222,
CLA_2230_020,Clay_County,29.77918,-82.03002,
CLA_2231_021,Clay_County,29.795029,-82.039245,
CLR_0047_001,Collier_County,26.1425,-81.78916667,
CLR_0048_002,Collier_County,26.29305556,-81.81944444,
CLR_0215_003,Collier_County,26.195667,-81.787889,
CLR_0216_004,Collier_County,26.143554,-81.778838,
CLR_0217_005,Collier_County,26.145621,-81.765784,
CLR_0218_006,Collier_County,26.132724,-81.806499,
CLR_0219_007,Collier_County,26.134064,-81.792606,
CLR_0221_009,Collier_County,26.103313,-81.78521,
CLR_0222_010,Collier_County,26.12524,-81.770697,
CLR_0223_011,Collier_County,26.112151,-81.760464,
CLR_0224_012,Collier_County,26.122525,-81.751516,
CLR_0225_013,Collier_County,26.149737,-81.753868,
CLR_0447_014,Collier_County,26.1492182,-81.7858418,
CLR_0448_015,Collier_County,26.115208,-81.759522,
CLR_0449_016,Collier_County,26.0973491,-81.7364359,
CLR_0450_017,Collier_County,26.1082629,-81.7262133,
CLR_0451_018,Collier_County,26.1974212,-81.7192097,
CLR_0452_019,Collier_County,26.1685051,-81.7178442,
CLR_0453_020,Collier_County,26.10251,-81.7010431,
CLR_0454_021,Collier_County,26.2197892,-81.7631162,
CLR_0455_022,Collier_County,26.2198779,-81.8164888,
CLR_0456_023,Collier_County,26.2186074,-81.8182838,
CLR_0461_025,Collier_County,26.207081,-81.816549,
CLR_0462_026,Collier_County,26.196703,-81.81056,
CLR_0463_027,Collier_County,26.207412,-81.783226,
CLR_0464_028,Collier_County,26.197874,-81.76765,
CLR_0465_029,Collier_County,26.175251,-81.78709,
CLR_0466_030,Collier_County,26.167834,-81.767752,
CLR_0467_031,Collier_County,26.162364,-81.77875,
CLR_0468_032,Collier_County,26.15587,-81.788376,
CLR_0469_033,Collier_County,26.162642,-81.810464,
CLR_0471_035,Collier_County,26.2676,-81.7689,
CLR_0472_036,Collier_County,26.2149,-81.7306,
CLR_0475_037,Collier_County,26.2817,-81.828,
CLR_0476_038,Collier_County,26.2639,-81.8245,
CLR_0802_039,Collier_County,25.9141,-81.5404,
CLR_0803_040,Collier_County,25.9005,-81.5159,
CLR_0804_041,Collier_County,26.0257,-81.7337,
CLR_0805_042,Collier_County,25.9342,-81.5955,
CLR_0806_043,Collier_County,25.8922,-81.4769,
CLR_0842_044,Collier_County,26.093791,-81.799765,
CLR_0843_045,Collier_County,26.023634,-81.709846,
CLR_0844_046,Collier_County,26.001367,-81.686374,
CLR_0846_048,Collier_County,25.977061,-81.73763,
CLR_0847_049,Collier_County,25.980488,-81.703206,
CLR_0848_050,Collier_County,25.96294,-81.727511,
CLR_0849_051,Collier_County,25.952418,-81.730698,
CLR_0850_052,Collier_County,25.947088,-81.74378,
CLR_0851_053,Collier_County,25.924514,-81.698358,
CLR_0852_054,Collier_County,25.922985,-81.708795,
CLR_0853_055,Collier_County,25.92712,-81.72097,
CLR_1867_057,Collier_County,26.00569444,-81.60922222,
CLR_1868_058,Collier_County,25.99863889,-81.59830556,
CLR_1869_059,Collier_County,26.12127778,-81.52280556,
CLR_1870_060,Collier_County,26.31172222,-81.62613889,
CLR_1875_061,Collier_County,25.99044444,-81.61205556,
CLR_1876_062,Collier_County,25.96744444,-81.63461111,
CLR_1877_063,Collier_County,25.93247222,-81.65508333,
CLR_1878_064,Collier_County,25.91244444,-81.71691667,
CLR_1879_065,Collier_County,25.98522222,-81.70425,
CLR_1880_066,Collier_County,26.02383333,-81.73411111,
CLR_1881_067,Collier_County,25.89230556,-81.32655556,
CLR_1882_068,Collier_County,25.81416667,-81.36405556,
CLR_1883_069,Collier_County,25.87241667,-81.38230556,
CLR_1884_070,Collier_County,25.87241667,-81.38230556,
CLR_1885_071,Collier_County,26.04594444,-81.70841667,
CLR_1886_072,Collier_County,26.10275,-81.78511111,
CLR_1887_073,Collier_County,26.15466667,-81.80947222,
CLR_1888_074,Collier_County,26.211,-81.81261111,
CLR_1889_075,Collier_County,26.28833333,-81.83008333,
CLR_1892_076,Collier_County,26.49547222,-81.52908333,
CLR_1895_077,Collier_County,26.4385,-81.47494444,
CLR_1896_078,Collier_County,26.43311111,-81.48541667,
CLR_1897_079,Collier_County,26.36669444,-81.48661111,
CLR_1898_080,Collier_County,26.33822222,-81.43325,
CLR_1899_081,Collier_County,26.31913889,-81.44233333,
CLR_1900_082,Collier_County,26.35175,-81.34341667,
CLR_1901_083,Collier_County,26.21813889,-81.34463889,
CLR_1902_084,Collier_County,26.14405556,-81.35272222,
CLR_1903_085,Collier_County,25.97055556,-81.35186111,
CLR_1904_086,Collier_County,26.15597222,-81.26644444,
CLR_1905_087,Collier_County,25.98730556,-81.57033333,
CLR_1906_088,Collier_County,25.96494444,-81.52755556,
CLR_1907_089,Collier_County,25.95922222,-81.51005556,
CLR_1908_090,Collier_County,25.97191667,-81.50958333,
CLR_1909_091,Collier_County,25.95583333,-81.48866667,
CLR_1910_092,Collier_County,25.94394444,-81.47455556,
CLR_1911_093,Collier_County,25.9405,-81.47016667,
CLR_1912_094,Collier_County,25.93136111,-81.44444444,
CLR_1913_095,Collier_County,25.92375,-81.41844444,
CLR_1914_096,Collier_County,25.91469444,-81.37333333,
