Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,,,,,,,,,,,,,,,,,,,,,,,,,
,MQ-3,Sediment or Soil,33.3075131,-81.6315719,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.06,,,,,,,,,0.04,,,0.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TC,Sediment or Soil,33.3708437,-81.5268463,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.10,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.14,,,,,,,,,0.04,,,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RB,Sediment or Soil,33.3343493,-81.5745458,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.04,,,,,,,,,0.02,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MC,Sediment or Soil,33.3204977,-81.5918761,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.04,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.06,,,,,,,,,0.04,,,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTR,Sediment or Soil,33.3692007,-81.6294076,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.07,,,,,,,,,0.06,,,0.11,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP,Sediment or Soil,33.3156127,-81.6662346,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.38,,,,,,,,,0.11,,,0.25,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRL,Sediment or Soil,33.254565,-81.7307689,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.51,,0.51,0.07,,0.65,0.00,,,,,,,,,,,0.28,,0.00,,,,,,,,,,,0.47,,,,,,,,,0.22,,,0.54,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U8,Sediment or Soil,33.2907223,-81.6644831,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.06,,0.04,0.03,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.05,,,,,,,,,0.26,,,0.23,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SR-1,Sediment or Soil,33.2358833,-81.8346699,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.02,,0.04,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.11,,,,,,,,,0.05,,,0.09,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SR-2,Sediment or Soil,33.2108897,-81.7633214,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.05,,0.04,0.05,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.13,,,,,,,,,0.10,,,0.14,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SR-3,Sediment or Soil,33.2025666,-81.7433463,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.00,,0.00,0.06,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.27,,,,,,,,,0.17,,,3.50,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BDC,Sediment or Soil,33.1900832,-81.7436034,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.03,,0.02,0.04,,0.00,0.00,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,0.03,,,,,,,,,0.02,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LP,Sediment or Soil,33.5257185,-81.837754,2022,,,Unnamed_SPE_LCMS_MS,,,ng/g,,0.16,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,0.10,,,,,,,,,,,0.01,,,,,,,,,0.05,,,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
