Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Camacho_et_al_2024,SAR_2611_104,Surface Water,27.319307,-82.504311,,,EPA 1633,10.8,13,0,1.2,3.9,6.8,12.3,6.7,,,0,,,,,,,,,0,8.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2612_105,Surface Water,27.325806,-82.441116,,,EPA 1633,6.4,7.9,0,1.2,0,5.4,12.5,0,,,0,,,,,,,,,0,6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SAR_2613_106,Surface Water,27.325827,-82.4392128,,,EPA 1633,4.9,7.9,0,0,0,0,9.4,4.9,,,0,,,,,,,,,0,6.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0637_001,Surface Water,28.666402,-81.383956,,,EPA 1633,0,5.2,0,1.1,0,0,5.6,0,,,0,,,,,,,,,0,8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0638_002,Surface Water,28.641477,-81.426463,,,EPA 1633,0,7.2,0,0,2.1,10.3,8.5,4.5,,,0,,,,,,,,,0,9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0726_003,Surface Water,28.71472222,-81.03555556,,,EPA 1633,0,3.8,0,0,0,0,3.7,0,,,0,,,,,,,,,0,5.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0727_004,Surface Water,28.78611111,-81.18055556,,,EPA 1633,15.6,8.3,0,0,2.2,15.4,6.2,4.4,,,0,,,,,,,,,0,7.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0728_005,Surface Water,28.83583333,-81.32777778,,,EPA 1633,0,8.6,0,1,2,0,15.7,6.6,,,0,,,,,,,,,0,10.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0941_006,Surface Water,28.814972,-81.268453,,,EPA 1633,0,4.3,0,0,2,0,4.7,0,,,0,,,,,,,,,0,7.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0944_008,Surface Water,28.828896,-81.412446,,,EPA 1633,0,4.6,0,0,0,0,4.3,0,,,0,,,,,,,,,0,7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_0945_009,Surface Water,28.726816,-81.263841,,,EPA 1633,0,6.9,0,0,2.4,11.7,8.4,5.1,,,0,,,,,,,,,0,8.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,SEM_1058_010,Surface Water,28.6981,-81.4197,,,EPA 1633,0,9.5,0,0,2,10.9,10.4,6.7,,,0,,,,,,,,,0,7.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
