Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
NH_DES,199712055301WNS,Surface Water,42.8877,-71.4639,5/24/2018,,Undisclosed,7,16.8,,0,0,3.57,9.1,4.55,0,,,,,,,,,,0,,5.04,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055302WIC,Surface Water,42.8873,-71.4643,10/2/2018,,Undisclosed,1.6,5.8,,0,0.43,0.6,2.4,1.5,0,0,,0,,,,,,,0,0,0.75,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055302WIC,Surface Water,42.8873,-71.4643,8/28/2018,,Undisclosed,1.8,5.7,,0,0.45,0.75,2.6,1.8,0,0,,0,,,,,,,2.9,0,0.83,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055302WIC,Surface Water,42.8873,-71.4643,6/5/2018,,Undisclosed,2,5.8,,0,0,1.1,3.1,1.6,0,,,,,,,,,,3.1,,1.3,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055302WIC,Surface Water,42.8873,-71.4643,5/24/2018,,Undisclosed,1.2,4.4,,0,0,0.67,1.9,0.93,0,,,,,,,,,,2,,0.76,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055302WNS,Surface Water,42.8873,-71.4643,10/2/2018,,Undisclosed,1.5,5.2,,0,0,0.57,2.4,1.5,0,0,,0,,,,,,,0,0,0.77,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055302WNS,Surface Water,42.8873,-71.4643,8/28/2018,,Undisclosed,1.9,4.9,,0,0.48,0.71,2.2,1.4,0,0,,0,,,,,,,3,0,0.74,2,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0.59,,,,,,,,
NH_DES,199712055302WNS,Surface Water,42.8873,-71.4643,8/28/2018,,Undisclosed,10.8,33.6,,0,2.88,4.98,15,9.6,0,0,,0,,,,,,,18.6,0,5.1,12,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055302WNS,Surface Water,42.8873,-71.4643,6/5/2018,,Undisclosed,2,14,,0,0.45,0.93,5.4,2.8,0,,,,,,,,,,4.4,,1.3,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055302WNS,Surface Water,42.8873,-71.4643,6/5/2018,,Undisclosed,20.8,52.8,,0,0,7.52,21.6,11.2,0,,,,,,,,,,22.4,,9.6,0,,,,,,,,,,0,,,0,,,0,,0,33.6,,0,0,0,,,,,,,,,
NH_DES,199712055302WNS,Surface Water,42.8873,-71.4643,5/24/2018,,Undisclosed,1.2,4.7,,0,0,0.55,1.8,1,0,,,,,,,,,,1.9,,0.73,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055303WNS,Surface Water,42.8867,-71.4647,10/2/2018,,Undisclosed,1.4,,,0,0,0.61,2.4,1.5,0,0,,0,,,,,,,1.8,0,0.64,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055303WNS,Surface Water,42.8867,-71.4647,8/28/2018,,Undisclosed,1.8,5.3,,0,0.52,0.82,2.4,1.6,0,0,,0,,,,,,,2.9,0,0.9,2,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0.55,,,,,,,,
NH_DES,199712055303WNS,Surface Water,42.8867,-71.4647,6/5/2018,,Undisclosed,1.9,5.1,,0,0,0.86,2.9,1.4,0,,,,,,,,,,2.6,,1.3,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
NH_DES,199712055303WNS,Surface Water,42.8867,-71.4647,5/24/2018,,Undisclosed,1.2,4.3,,0,0,0.57,1.7,0.87,0,,,,,,,,,,2,,0.7,0,,,,,,,,,,0,,,0,,,0,,0,0,,0,0,0,,,,,,,,,
